Date : 2024-01-22 01:49:28
Directory : c:\Users\vypha\OneDrive\Documents\GitHub\fish
Total : 101 files,  9512 codes, 1071 comments, 769 blanks, all 11352 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\getSentenceSymphony.ts                        | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\index.ts                                      | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\tailwind.config.ts                                                         | TypeScript         |         72 |          0 |          6 |         78 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\tsconfig.json                                                              | JSON with Comments |         29 |          0 |          1 |         30 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\types\AnimalSprites.ts                                                     | TypeScript         |         14 |          0 |          0 |         14 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\types\GameRoomType.ts                                                      | TypeScript         |          3 |          0 |          0 |          3 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\types\PlayerRoomStatus.ts                                                  | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\vypha\OneDrive\Documents\GitHub\fish\types\index.ts                                                             | TypeScript         |          3 |          0 |          0 |          3 |
| Total                                                                                                                    |                    |      9,512 |      1,071 |        769 |     11,352 |
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
