"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "JSON with Comments", "Markdown", "CSS", "comment", "blank", "total"
"/Users/kennethchap/Documents/GitHub/fish/components/symphony/PieScore.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 2, 6, 71
"/Users/kennethchap/Documents/GitHub/fish/components/symphony/ResponseCard.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 0, 0, 13, 10, 118
"/Users/kennethchap/Documents/GitHub/fish/components/symphony/VoteCount.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/kennethchap/Documents/GitHub/fish/components/timer.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 0, 0, 2, 5, 67
"/Users/kennethchap/Documents/GitHub/fish/environment.d.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/kennethchap/Documents/GitHub/fish/global.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/kennethchap/Documents/GitHub/fish/next.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 3, 13
"/Users/kennethchap/Documents/GitHub/fish/package-lock.json", "JSON", 0, 0, 0, 5744, 0, 0, 0, 0, 1, 5745
"/Users/kennethchap/Documents/GitHub/fish/package.json", "JSON", 0, 0, 0, 51, 0, 0, 0, 0, 1, 52
"/Users/kennethchap/Documents/GitHub/fish/phaser/Game.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 0, 0, 3, 11, 97
"/Users/kennethchap/Documents/GitHub/fish/phaser/functions.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 35, 19, 160
"/Users/kennethchap/Documents/GitHub/fish/phaser/scenes/exterior.ts", "TypeScript", 311, 0, 0, 0, 0, 0, 0, 30, 74, 415
"/Users/kennethchap/Documents/GitHub/fish/phaser/scenes/interior.ts", "TypeScript", 326, 0, 0, 0, 0, 0, 0, 147, 86, 559
"/Users/kennethchap/Documents/GitHub/fish/phaser/scenes/studyroom.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 4, 65, 165
"/Users/kennethchap/Documents/GitHub/fish/phaser/settings/consts.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/kennethchap/Documents/GitHub/fish/phaser/settings/functions.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 1, 1, 21
"/Users/kennethchap/Documents/GitHub/fish/phaser/stores/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/kennethchap/Documents/GitHub/fish/phaser/stores/types.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/kennethchap/Documents/GitHub/fish/phaser/stores/useHomeStore.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 4, 8, 82
"/Users/kennethchap/Documents/GitHub/fish/phaser/stores/useMultiplayerStore.ts", "TypeScript", 144, 0, 0, 0, 0, 0, 0, 9, 18, 171
"/Users/kennethchap/Documents/GitHub/fish/phaser/types/IChangeSceneParams.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/kennethchap/Documents/GitHub/fish/phaser/types/IRedirectParams.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/kennethchap/Documents/GitHub/fish/phaser/types/ISendPlayerDataParams.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/kennethchap/Documents/GitHub/fish/phaser/types/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/kennethchap/Documents/GitHub/fish/phaser/types/player.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/kennethchap/Documents/GitHub/fish/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/kennethchap/Documents/GitHub/fish/public/backgrounds/background.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 41
"/Users/kennethchap/Documents/GitHub/fish/public/backgrounds/interior.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"/Users/kennethchap/Documents/GitHub/fish/services/lucia/LuciaSessionProvider.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 10, 7, 44
"/Users/kennethchap/Documents/GitHub/fish/services/lucia/functions.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 12, 11, 45
"/Users/kennethchap/Documents/GitHub/fish/services/lucia/index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 4, 6, 38
"/Users/kennethchap/Documents/GitHub/fish/services/lucia/models.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 1, 11, 45
"/Users/kennethchap/Documents/GitHub/fish/services/mongo/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 4, 2, 7
"/Users/kennethchap/Documents/GitHub/fish/services/mongo/models/Player.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 15, 72
"/Users/kennethchap/Documents/GitHub/fish/services/mongo/models/PlayerRoom.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 14, 62
"/Users/kennethchap/Documents/GitHub/fish/services/mongo/models/game/BaseGameRoom.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/kennethchap/Documents/GitHub/fish/services/mongo/models/game/SentenceSymphonyGameRoom.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 18, 85
"/Users/kennethchap/Documents/GitHub/fish/services/mongo/models/game/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 4, 2, 8
"/Users/kennethchap/Documents/GitHub/fish/services/mongo/models/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/kennethchap/Documents/GitHub/fish/services/mongo/models/types.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/kennethchap/Documents/GitHub/fish/services/mongo/mongoose.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 7, 7, 38
"/Users/kennethchap/Documents/GitHub/fish/services/pusher/client.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 1, 2, 17
"/Users/kennethchap/Documents/GitHub/fish/services/pusher/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
