"filename", "language", "JSON", "TypeScript JSX", "JavaScript", "TypeScript", "JSON with Comments", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\pusher\types.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\ReactQueryHydrate.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\ReactQueryProvider.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\auth\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\auth\signOut.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player-room\addPlayerToRoom.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 7, 8, 55
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player-room\deletePlayerFromRoom.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 7, 6, 45
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player-room\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player-room\sendInvite.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 6, 8, 46
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player\addInvite.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 7, 6, 41
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player\createPlayer.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player\deleteMail.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 6, 11, 50
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player\sendMail.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 7, 8, 50
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\player\updateCurrentRoomId.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 3, 4, 31
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\calculateWinner.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 3, 8, 40
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\createSentenceSymphony.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\deleteSentenceSymphony.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\forceSubmissions.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 1, 9, 56
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\index.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\startNewRound.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 5, 10, 69
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\submitSentence.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 1, 7, 46
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\mutations\sentence-symphony\updateVote.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 1, 7, 55
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\player-room\getPlayerRoom.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\player-room\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\player\getPlayer.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\player\getPlayerByUsername.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\player\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\sentence-symphony\getSentenceSymphony.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\services\react-query\queries\sentence-symphony\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\tailwind.config.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 10, 100
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\types\AnimalSprites.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\types\CustomErrors.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\types\GameRoomType.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\types\PlayerRoomStatus.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\vypha\OneDrive\Documents\GitHub\fish\types\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"Total", "-", 5939, 3819, 14, 2660, 29, 3, 23, 742, 1181, 14410
